Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LRIG1,119.69047556843437,-2.376400036814978,0.4544914563600685,-5.228701229825292,1.7070496651263837e-07,1.775331651731439e-05
RNR2,550704.5146172632,2.3229308045348613,0.4448041490142677,5.222367663797018,1.7664979379582192e-07,1.824819473958996e-05
HLTF,90.51743204665627,-2.1005546428945325,0.40230263548020145,-5.2213295604868275,1.776430806589324e-07,1.824819473958996e-05
TNNT2,160.5078878676853,1.8086294567401167,0.34691484497209646,5.213468039644112,1.8534247514389268e-07,1.8923014657374017e-05
PIM3,520.4982133206852,1.7015907284186003,0.32695472851486124,5.204361888717132,1.9466433396813933e-07,1.9754300654318334e-05
HSD17B12,252.4779500614823,-1.7577979213064876,0.33813190611085925,-5.198556804427025,2.0084175118478285e-07,2.0258399288180747e-05
SLC17A6,71.64190800298515,-2.170416522239228,0.41783340604948555,-5.194454274874753,2.0532122808715423e-07,2.0586219419708445e-05
SEMA3G,126.68200042477658,-2.1868468559438203,0.4220001705305362,-5.182099460278723,2.194021587342678e-07,2.186708182051536e-05
ISG20,48.05541431477812,2.1457478121032905,0.4141910870937687,5.180574568031481,2.2120347711831206e-07,2.191350620585809e-05
TMC8,81.2962231171116,1.8178035798861507,0.35096143688579445,5.17949663078704,2.2248543090037476e-07,2.191350620585809e-05
CEBPB,124.0986197568589,1.58825454243365,0.3068853367726336,5.175400555583933,2.274225378689011e-07,2.2268789322087015e-05
TCIRG1,177.22816137461146,2.0727944082050653,0.4013037239872028,5.165151191747138,2.4024464967865705e-07,2.3261929244378524e-05
PPFIBP2,286.6824019312595,1.330072735104033,0.2575128057542265,5.165074145374623,2.4034363110830654e-07,2.3261929244378524e-05
SLCO4A1,450.5802734812726,2.2036667949390907,0.4270612678418692,5.160071776293833,2.4685518278020985e-07,2.3754845864780654e-05
SIRT7,200.87868516426184,1.2821401744338679,0.248654081104772,5.156320655334951,2.5184947066131267e-07,2.40969573528744e-05
LOC107985414,75.33080520936709,1.8609958165650962,0.361038308425691,5.154566075494802,2.542189109456078e-07,2.418546275496169e-05
IFITM2,463.32779771863824,2.2275367123605467,0.43250383798183095,5.150328197675146,2.6003102985668103e-07,2.4598641604069306e-05
SLC6A12,536.132836098449,2.153825627912347,0.41918876258004556,5.138080550289242,2.7755891228655006e-07,2.6109249591719068e-05
SPACA6,222.24699654616313,2.1197792587830113,0.4128466766954145,5.134543593157996,2.8282953425702167e-07,2.6364797068980416e-05
RNASEH2C,461.77150574032163,1.3731784546138461,0.2674598401926022,5.134148190715279,2.8342471765506896e-07,2.6364797068980416e-05
CDK18,2281.7031689258733,1.1372785890432515,0.2216233493772991,5.131582896110418,2.873156357330353e-07,2.6479895516124768e-05
SEZ6,443.515796754145,-1.5081681611205653,0.2939183009912198,-5.131249588863195,2.8782495126222574e-07,2.6479895516124768e-05
SLC52A3,103.69748913106677,2.308805638763526,0.4506184461794753,5.12363765473542,2.9969666424586787e-07,2.7421425935151977e-05
ERLIN2,177.13009405335058,-1.3567255056894127,0.26487110955998616,-5.122210224977938,3.0197494694357834e-07,2.747972017186563e-05
DHX34,272.9201569742426,1.334444198444708,0.2605889033100657,5.120878830580514,3.0411501730127557e-07,2.7524874863203017e-05
TNR,1117.6734804618404,-1.003755930532303,0.19630141057724476,-5.113340385994446,3.165112094271786e-07,2.8492815541121923e-05
CLEC2B,31.428163773406684,2.468402735803747,0.48382612196104624,5.101838498919417,3.363697396185409e-07,3.0118582460817373e-05
UCN,55.20008826498511,2.2206983545350063,0.4356084780192481,5.097922714068207,3.4340095703354827e-07,3.0584604386009214e-05
MRPL41,995.6946728397553,1.8568273327709623,0.3658384651483108,5.075538822901536,3.8639944882561305e-07,3.423212894780987e-05
PYY2,14.683612356242746,3.7193954046279596,0.736058659941762,5.05312362593797,4.3464236122447773e-07,3.8303429980750816e-05
SORL1,1639.7732137210871,-1.4117590003244882,0.2796433452418911,-5.048426949346206,4.454627410881528e-07,3.9051456213508014e-05
POLR2H,272.18496482163204,1.1937113835597108,0.23656602013151906,5.045996812627892,4.5116292739807573e-07,3.934516696017385e-05
ALDH1A1,296.4703208922566,-1.9742101689790554,0.3914784598192647,-5.042959885686932,4.5838537444612184e-07,3.9767900050393076e-05
EPHB6,133.22211189450152,1.8512270366892498,0.36716739701751916,5.041915626841235,4.6089451038767003e-07,3.9779472587273954e-05
STAB1,368.9127734112273,1.925172658543581,0.38201557054103086,5.039513587933206,4.66716494512272e-07,4.007538966212042e-05
STRIP2,123.76019569096223,-2.092436422798166,0.41591220362558295,-5.030957025444347,4.880375420389729e-07,4.1692350019900826e-05
TBC1D9,464.70766612719825,-2.2350886261001324,0.44442827479134484,-5.029132377208644,4.92704161608664e-07,4.18773527003831e-05
CLASRP,509.2222730864975,1.3601840403075376,0.27096842614734373,5.019714140303248,5.174842929342916e-07,4.376139899440292e-05
SLC4A4,455.1315979222732,-2.1656581522696956,0.43215995512123806,-5.011242079711301,5.407983122675416e-07,4.550315045531516e-05
ARRDC2,772.4824189982681,1.6973905285877318,0.3395192024836613,4.999394779944487,5.751054541936189e-07,4.814782862508977e-05
FTL,4672.052839078747,1.0767801038585916,0.21542947519378175,4.998295163138717,5.783940367889656e-07,4.818223757211164e-05
