"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140374","antiviral innate immune response","15/1473","60/18805",0.25,3.19161575016972,4.9567780187384,4.36746141437366e-05,0.00742913309713356,0.00655137356407186,"DHX58/IFIH1/IFIT1/IFIT2/IFIT3/IRF3/MX1/OAS1/OAS2/OAS3/OASL/RELA/RIGI/ZDHHC11/ZDHHC11B",15
"GO:0006887","exocytosis","50/1473","358/18805",0.139664804469274,1.78302555875403,4.36070524327825,4.58386638589603e-05,0.00742913309713356,0.00655137356407186,"ABCC4/ANK1/ARFGEF2/ATP9A/CACNB4/CLASP2/CLTRN/CPLX3/EXOC8/FCGR3A/FGR/GAB2/GIT1/HAP1/IL4R/KIT/LAT/LGALS9/LLGL1/MICAL1/NR4A3/P2RX7/P2RY1/PCLO/PDPK1/PIK3C2A/PRAM1/PREPL/PRKN/RAB13/RAB37/RAB3B/RASGRP1/RIMS1/RPH3A/SEPTIN1/SMPD3/SPI1/STXBP5/STXBP5L/SV2B/SV2C/SYNJ1/SYT11/SYT2/SYTL5/TRAPPC11/TRIM72/TSPAN18/VAMP8",50
"GO:0035456","response to interferon-beta","11/1473","35/18805",0.314285714285714,4.01231694307051,5.20001629903663,4.70341844833204e-05,0.00742913309713356,0.00655137356407186,"BST2/IFI16/IFITM1/IFITM2/IFITM3/IKBKE/IRF1/OAS1/PNPT1/SHFL/XAF1",11
"GO:0032728","positive regulation of interferon-beta production","12/1473","41/18805",0.292682926829268,3.73652575629626,5.11364895293218,4.73193190900227e-05,0.00742913309713356,0.00655137356407186,"HSP90AA1/IFIH1/IRF1/IRF3/ISG15/OAS1/OAS2/OAS3/POLR3B/RIGI/TLR9/TRIM56",12
"GO:0006936","muscle contraction","50/1473","359/18805",0.139275766016713,1.77805891374358,4.33921090369119,4.93013528918267e-05,0.0075311147714758,0.00664130600121763,"ABCC9/ADA/ADRA2B/ATP1A2/ATP8A2/CACNA1G/CAV1/CD38/CHRM2/CHRM3/CHRNA3/CHRNB2/CRYAB/CXCR4/DMPK/DOCK4/EDN3/EDNRB/GPER1/HOMER1/HSP90AA1/KCNA1/KCND2/KCNE4/KCNE5/KIT/MYH3/MYOT/NMUR2/NUP155/PABPN1/PIK3C2A/PKP2/SCN2A/SCN5A/SCN8A/SGCD/SMTN/SPX/SSPN/STAC/STAC3/STC1/TAFAZZIN/TBX2/TCAP/TNNC2/TNNT2/TRPV1/UCN",50
"GO:0019233","sensory perception of pain","18/1473","83/18805",0.216867469879518,2.76863053026771,4.70762865613205,6.11318992386594e-05,0.00889688454837223,0.00784570870796411,"ASIC3/CHRNB2/CXCL12/CXCR4/EPHB1/GRIN2A/KCNA1/KCNA2/KCND2/MMP24/NIPSNAP1/NR2F6/OPRL1/P2RX7/PENK/PNOC/SPX/TRPV1",18
"GO:0019933","cAMP-mediated signaling","12/1473","42/18805",0.285714285714286,3.64756085733682,5.00750754210773,6.15592940740425e-05,0.00889688454837223,0.00784570870796411,"ADM/CAP1/CRH/GIPR/GPR3/LPAR1/NRXN1/OPRL1/PDE10A/PDE3A/PDE3B/UCN",12
"GO:0031547","brain-derived neurotrophic factor receptor signaling pathway","14/1473","55/18805",0.254545454545455,3.24964512744553,4.87076165614853,6.29645049424786e-05,0.00889688454837223,0.00784570870796411,"BDNF/EPHA2/EPHA3/EPHA4/EPHA5/EPHA6/EPHB1/EPHB3/ERBB4/FGFR4/FSTL4/KIT/NTRK2/PDGFRA",14
"GO:0051952","regulation of amine transport","18/1473","84/18805",0.214285714285714,2.73567064300262,4.64776962994734,7.21824930279233e-05,0.00978813868790361,0.00863166027623638,"ADRA2B/ATP1A2/CHRNA3/CHRNB2/CLTRN/CRH/CXCL12/KCNA2/P2RX7/P2RY1/PER2/PRKN/RAB3B/SLC38A1/SLC43A1/SLC43A2/SLC6A1/SYT11",18
"GO:0051592","response to calcium ion","25/1473","139/18805",0.179856115107914,2.29612643897102,4.47127409514198,7.27356378082009e-05,0.00978813868790361,0.00863166027623638,"ABCC9/ADAM9/ADCY1/AKR1C3/CAV1/GIPR/HOMER1/ITPKB/ITPR3/JUND/KCNH1/KCNMB3/MEF2A/NRXN1/P2RX7/PCSK1/PENK/PRKAA1/PRKAA2/SCN5A/SLC6A1/THBS1/TNNT2/TRPC3/TUBA1A",25
